GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Lannister server/lannister-interface,net.anyflow.lannister.plugin,ConnectEventArgs,0,25,0,0,0,3,0,1,0,1
Lannister server/lannister-interface,net.anyflow.lannister.plugin,DisconnectEventArgs,0,20,0,0,0,2,0,1,0,1
Lannister server/lannister-interface,net.anyflow.lannister.plugin,DeliveredEventArgs,0,15,0,0,0,2,0,1,0,1
Lannister server/lannister-interface,net.anyflow.lannister.plugin,ITopicSubscription,0,15,0,0,0,2,0,1,0,1
Lannister server/lannister-interface,net.anyflow.lannister.plugin,PublishEventArgs,0,9,0,0,0,1,0,1,0,1
Lannister server/lannister-interface,net.anyflow.lannister.plugin,UnsubscribeEventArgs,32,0,2,0,5,0,3,0,2,0
Lannister server/lannister-interface,net.anyflow.lannister.plugin,IMessage,0,35,0,0,0,3,0,1,0,1
Lannister server/lannister-interface,net.anyflow.lannister.plugin,SubscribeEventArgs,2,24,1,1,0,4,1,2,0,2
